,Name: ,Position: ,Overall: ,College: ,Age: ,Experience: ,Height(inches): ,Weight(lbs): 
1165,Christopher Hudson,wr,78,Stanford,25,4,70,240
1166,Miles Nicolas,wr,75,Delaware,27,6,78,222
1167,John Ryan,wr,64,Columbia,25,4,71,260
1168,Christoper Woodham,wr,55,West Virginia,25,4,75,233
1169,Terry Laschinger,wr,70,Missouri,29,8,73,232
1170,Andrew Hayden,wr,89,Northern Iowa,23,2,78,214
1171,Louis Seymour,wr,69,Minnesota,24,3,77,240
1172,James Moore,wr,83,Michigan,24,3,70,272
1173,Brian Ducking,wr,69,Delaware,27,6,77,219
1174,Bryan Miller,wr,59,Mississippi State,30,9,73,209
1175,John Sullivan,wr,66,Kentucky,24,3,80,273
1176,Joe Yoder,wr,65,Iowa,23,2,78,227
1177,Harold Butts,wr,68,Colgate,21,0,78,246
1178,Eric Woock,wr,73,Arizona State,21,0,77,226
1179,Max Fogle,wr,55,Utah State,25,4,71,209
1180,Juan Tucker,wr,55,Western Michigan,25,4,77,237
1181,Glenn Campanella,wr,64,Purdue,26,5,71,268
1182,Jerry Horne,wr,71,Wyoming,33,12,76,275
1183,Charles Hall,wr,74,Texas Tech,26,5,75,267
1184,Raymond Menjivar,wr,66,Marian (Ind.),24,3,74,267
1185,David Pascual,wr,57,Kentucky,27,6,78,219
1186,Jacob Crank,wr,62,Minnesota,30,9,71,236
1187,Felipe Dudasik,wr,55,Maryland,26,5,73,260
1188,Robert Hodges,wr,59,North Texas,24,3,75,201
1189,James Burch,wr,70,Texas Tech,22,1,78,259
1190,William Holley,wr,59,Massachusetts,26,5,80,273
1191,Chad Fogle,wr,72,North Texas,26,5,78,238
1192,David Leach,wr,72,Houston,22,1,74,244
1193,James Sharkey,wr,55,William & Mary,30,9,80,244
1194,Andrew Barnes,wr,61,LSU,26,5,77,240
1195,Robert Haug,wr,71,Mississippi,32,11,78,213
1196,Darrin Larsen,wr,62,Brigham Young,26,5,80,213
1197,Wallace Sullivan,wr,80,North Carolina,27,6,79,274
1198,William Drabek,wr,67,Illinois,29,8,77,235
1199,John Jervey,wr,71,Florida State,30,9,79,275
1200,Wade Hoyt,wr,72,Vanderbilt,24,3,75,252
1201,Larry Valadez,wr,60,Alabama,31,10,79,200
1202,Steven Harris,wr,71,UCLA,24,3,74,228
1203,Ronald Coffey,wr,61,Brown,21,0,80,262
1204,Michael Ramos,wr,81,Oklahoma,29,8,73,203
1205,Harold Weber,wr,92,North Dakota State,28,7,71,209
1206,Alfred Ludgate,wr,64,Catholic,25,4,74,208
1207,Danny Poblete,wr,66,Duke,30,9,76,228
1208,John Johnson,wr,57,South Carolina,24,3,71,236
1209,Carlos Ramsey,wr,66,Penn State,29,8,70,222
1210,Travis Alvarez,wr,74,Penn State,21,0,70,202
1211,Andrew Pittman,wr,68,Lenoir-Rhyne,24,3,75,219
1212,Charles Glover,wr,79,Alabama,23,2,71,221
1213,John Mccall,wr,63,Coastal Carolina,28,7,72,213
1214,Denny Paterson,wr,81,Stanford,23,2,78,209
1215,Eric Hunter,wr,66,USC,24,3,78,265
1216,James Latshaw,wr,64,Texas-El Paso,26,5,79,238
1217,Richard Wilburn,wr,62,Auburn,26,5,80,236
1218,Donald Wall,wr,75,Colorado State,26,5,70,240
1219,Robert King,wr,74,Boise State,25,4,72,222
1220,Rodney Hibbler,wr,57,North Carolina State,26,5,77,262
1221,William Walling,wr,65,Idaho State,22,1,73,218
1222,Wallace Schooley,wr,91,Old Dominion,26,5,75,254
1223,James Burgess,wr,70,Louisiana-Lafayette,25,4,72,214
1224,Thomas Visser,wr,55,Colgate,27,6,74,251
1225,Felipe Black,wr,61,Minnesota,26,5,78,237
1226,John Rice,wr,62,No College,21,0,78,245
1227,Larry Briggs,wr,70,Western State (Colo.),21,0,80,224
1228,William Murray,wr,60,Fordham,26,5,78,238
1229,Toby Brown,wr,74,Iowa State,23,2,75,241
1230,Martin Chiles,wr,68,Penn State,24,3,76,225
1231,Kevin Box,wr,65,Arkansas State,30,9,80,238
1232,Matthew Collette,wr,61,U. of Pacific,22,1,72,207
1233,Woodrow Acheson,wr,65,Kansas State,24,3,70,267
1234,Chad Jennings,wr,59,Jackson State,23,2,80,272
1235,Martin Whitfill,wr,75,Kent State,23,2,70,271
1236,Donald Flowers,wr,55,Colgate,21,0,74,224
1237,Lee Norman,wr,61,Kentucky,30,9,76,249
1238,Herbert Hintz,wr,87,George Washington,26,5,73,254
1239,Daniel Bradley,wr,65,West Virginia,28,7,77,248
1240,Robert Creech,wr,80,USC,26,5,74,201
1241,Henry Martinez,wr,77,San Jose State,26,5,74,233
1242,James Berry,wr,69,Texas Tech,26,5,76,267
1243,Patrick Cammack,wr,56,Western Maryland,30,9,78,266
1244,Jimmy Helder,wr,74,Loyola (Chicago),24,3,80,206
1245,Roger Ponce,wr,68,Memphis,27,6,75,258
1246,Robert Needham,wr,73,Kentucky,25,4,80,241
1247,Gregory Lebowitz,wr,58,Northern Colorado,30,9,72,213
1248,Scott Trevino,wr,64,Maryland,25,4,75,254
1249,Millard Shannon,wr,78,Baylor,24,3,75,219
1250,Myron Willis,wr,69,Maryland,25,4,78,245
1251,Victor Mangrum,wr,97,Texas Southern,26,5,72,207
1252,Robert Scholz,wr,74,California,21,0,74,224
1253,Hal Haskins,wr,65,UCLA,30,9,79,224
1254,Larry Rayborn,wr,82,Missouri,24,3,76,247
1255,Wendell Kelley,wr,74,Centenary,22,1,77,249
1256,Van Campbell,wr,81,Alabama,28,7,80,217
1257,Douglas Gibson,wr,56,Pittsburgh,23,2,72,239
1258,James Washington,wr,75,Illinois,23,2,70,236
1259,William Birchall,wr,65,Stanford,21,0,79,236
1260,Jeff Woodside,wr,63,Temple,29,8,76,243
1261,Carl Fazzino,wr,66,East Carolina,27,6,76,241
1262,Robert Castillo,wr,55,Arkansas State,21,0,78,226
1263,Michael Lopez,wr,59,Iowa,24,3,80,207
1264,Travis Fields,wr,65,Florida State,25,4,75,212
1265,Wesley Cockrell,wr,65,Utah State,30,9,80,254
1266,Charlie Kutscher,wr,92,Kentucky,26,5,78,213
1267,Cesar Hickman,wr,71,South Carolina,24,3,75,262
1268,William Butler,wr,80,Colorado State,27,6,78,219
1269,Frank Metz,wr,64,Florida Atlantic,29,8,75,263
1270,Ricky Morris,wr,82,Florida State,24,3,77,243
1271,Ralph Lee,wr,71,Wabash,26,5,70,227
1272,Reginald Keenan,wr,58,Toledo,30,9,73,261
1273,Roy Smith,wr,62,Western Michigan,30,9,73,275
1274,Roy Sanchez,wr,68,California,26,5,80,208
1275,Frederick Thompson,wr,57,No College,26,5,73,236
1276,Diego Ray,wr,69,Missouri,23,2,73,246
1277,Frank Hatfield,wr,73,Washington State,31,10,80,254
1278,Ryan Massiah,wr,65,Utah,28,7,76,213
1279,Michael Fisher,wr,70,Washington State,25,4,72,262
1280,Geoffrey Medeiros,wr,81,Colgate,22,1,71,250
1281,Roger Hayne,wr,89,Maine,23,2,76,205
1282,James Hannigan,wr,73,Wisconsin,24,3,76,212
1283,Harold Perreira,wr,73,Penn State,28,7,71,270
1284,James Krupka,wr,98,Kansas State,21,0,70,229
1285,Ricardo Higa,wr,58,New Hampshire,25,4,70,242
1286,Harris Breaux,wr,74,Texas A&M,21,0,79,206
1287,Terry Hunt,wr,95,Texas A&M - Kingsville,22,1,78,260
1288,Erik Majewski,wr,73,Houston,26,5,74,235
1289,Deon Peterson,wr,61,No College,28,7,76,200
1290,Rafael Cooper,wr,70,Virginia State,24,3,72,229
1291,Tyrone Chamberlin,wr,66,Michigan,27,6,79,270
1292,Edward Whitmire,wr,70,Minnesota,31,10,74,267
1293,Richard Reitz,wr,65,Nevada-Las Vegas,26,5,74,224
1294,Scott Cortez,wr,90,Delaware,25,4,73,233
1295,Michael Carlson,wr,72,Miami (Fla.),29,8,76,233
1296,Frank Gaudet,wr,99,Miami (Fla.),27,6,79,225
1297,Brian Luedeman,wr,59,Miami (Fla.),27,6,79,266
1298,Patrick Wheeler,wr,70,California,26,5,71,207
1299,Leon Gass,wr,73,Michigan,25,4,70,224
1300,Truman Lawson,wr,61,Iowa,26,5,76,230
1301,James Henning,wr,71,Georgia,21,0,79,201
1302,Jarrett Dunkin,wr,64,Arkansas,21,0,75,211
1303,Carroll Cox,wr,73,Grambling State,25,4,72,250
1304,Wilbur Turner,wr,73,Iowa State,24,3,70,238
1305,Orville Carranza,wr,63,USC,26,5,72,233
1306,Felix Kuykendall,wr,85,Cincinnati,25,4,75,275
1307,Lucas Espinosa,wr,67,Oregon,21,0,71,209
1308,David Taylor,wr,56,Arkansas-Pine Bluff,25,4,75,232
1309,Robert Claxton,wr,73,Central Michigan,26,5,80,208
1310,Raymond Moreno,wr,63,Wake Forest,27,6,70,222
1311,Wilson Sams,wr,57,Notre Dame,26,5,77,242
1312,Henry Hammond,wr,75,Wayne State (Mich.),28,7,72,270
1313,Maurice Corp,wr,83,Florida State,26,5,74,268
1314,Michael Hurst,wr,62,Centenary,25,4,73,234
1315,David Clay,wr,58,Indiana State,23,2,75,232
1316,Frank Allen,wr,55,Pittsburgh,22,1,70,270
1317,Emilio Toole,wr,73,Minnesota,26,5,75,210
1318,David Cowdery,wr,69,Cincinnati,28,7,73,252
1319,Victor Miller,wr,66,Northwestern,27,6,74,236
1320,Woodrow Cunningham,wr,66,UCLA,21,0,73,226
1321,Michael Torrence,wr,87,Arkansas,22,1,72,275
1322,William Banks,wr,64,LSU,24,3,80,250
1323,Richard Ramsey,wr,82,Jacksonville State,30,9,78,249
1324,Christopher Hess,wr,55,Texas Tech,28,7,76,259
1325,Ronald Cates,wr,62,Northwestern State-Louisiana,24,3,77,212
1326,Scott Davis,wr,74,Alabama-Birmingham,28,7,80,212
1327,Thomas Allen,wr,67,Notre Dame,21,0,77,261
1328,Pete Busch,wr,75,Michigan State,27,6,80,214
1329,Gerald Grap,wr,71,Ashland,25,4,72,239
1330,Robert Moore,wr,57,Penn State,24,3,80,216
1331,William Dodge,wr,58,Auburn,27,6,73,204
1332,Wesley Thompson,wr,89,Presbyterian,21,0,76,217
1333,Harry Hansen,wr,76,Oregon State,25,4,76,216
1334,William Pierce,wr,99,Clemson,26,5,70,253
1335,Kermit Fitzpatrick,wr,72,Maine,34,13,72,209
1336,Alexander Taylor,wr,73,Florida,28,7,80,206
1337,William Mckendrick,wr,98,Georgia,28,7,72,245
1338,Coleman Duran,wr,73,Notre Dame,25,4,80,232
1339,Jarred Johnson,wr,71,Michigan State,21,0,70,249
1340,George Alvarez,wr,71,Michigan State,27,6,78,232
1341,Jeff Sanderson,wr,63,Brown,21,0,73,237
1342,Paul Alden,wr,75,Miami (Fla.),21,0,78,241
1343,Nicholas Gibbons,wr,60,Texas Tech,28,7,73,211
1344,Dan Bowen,wr,77,Alabama-Birmingham,24,3,77,211
1345,Edward Backus,wr,94,Marshall,25,4,80,256
1346,Keith Camp,wr,75,Oregon State,28,7,76,225
1347,Peter Stewart,wr,89,Wisconsin,24,3,80,222
1348,Fred Frye,wr,75,Georgia Tech,23,2,75,230
1349,Angel Mickelson,wr,85,Virginia Tech,28,7,76,226
1350,Richard Westbrook,wr,80,Mississippi,22,1,70,270
1351,Christopher Rebman,wr,67,Nebraska,24,3,74,263
1352,Albert Henry,wr,55,Iowa State,23,2,77,212
1353,Erik Seidell,wr,66,Villanova,21,0,79,264
1354,Keith Williamson,wr,68,Cincinnati,35,14,79,213
1355,Robert Culver,wr,66,Oregon,25,4,72,217
1356,Leon Warren,wr,61,Ohio State,25,4,79,232
1357,Michael Shanberg,wr,74,Pittsburgh,26,5,79,253
1358,Donald Manchini,wr,73,Rutgers,26,5,80,264
1359,James Dejong,wr,85,Oregon,27,6,72,256
1360,Earl Allen,wr,72,Gardner-Webb,28,7,72,215
1361,Leon Fernandez,wr,87,Missouri,23,2,75,244
1362,Peter White,wr,69,North Carolina Central,24,3,75,243
1363,Carlos Norton,wr,65,Penn State,22,1,80,207
1364,Jimmy Jennings,wr,56,Minnesota,26,5,71,249
1365,Robert Carpenter,wr,71,UCLA,30,9,75,208
1366,Jonathan Walden,wr,70,Notre Dame,28,7,70,254
1367,Eric Davis,wr,88,Colorado,26,5,80,211
1368,Adam Mcenany,wr,59,Texas Tech,27,6,70,252
1369,Guillermo Ibarra,wr,70,Pittsburgh,27,6,70,224
1370,Heath Smith,wr,74,Utah State,25,4,79,238
1371,James Pitts,wr,94,Appalachian State,23,2,72,240
1372,Dustin Costa,wr,71,Houston,27,6,73,229
1373,Bertram Mackiewicz,wr,56,Cincinnati,25,4,73,229
1374,Barry Brenner,wr,94,Purdue,29,8,72,262
1375,Scott Nadeau,wr,78,Utah,27,6,77,209
1376,Leslie Holman,wr,59,Auburn,25,4,78,225
1377,Douglas Dennis,wr,63,Tennessee,30,9,75,256
1378,Warren Members,wr,99,Colorado,24,3,76,227
1379,Stephen Smith,wr,57,Wisconsin,26,5,73,258
1380,James Fleming,wr,70,Georgia,31,10,77,254
1381,John Chastain,wr,81,Michigan State,30,9,73,231
1382,Ian Wade,wr,61,Wisconsin,25,4,70,246
1383,James Edwards,wr,75,Washington,22,1,70,266
1384,Frank Foster,wr,67,Santa Clara,22,1,77,222
1385,Jason Miller,wr,65,Oklahoma,21,0,72,229
1386,Nelson Irvin,wr,74,North Texas,29,8,72,217
1387,Terry Harris,wr,74,Northern Arizona,29,8,72,242
1388,Marvin Bennett,wr,81,Southern Methodist,28,7,79,255
1389,Paul Mcgill,wr,67,Ohio State,27,6,74,221
1390,Derrick Stapleton,wr,72,Arizona State,26,5,74,274
1391,Ramiro Singletary,wr,63,Texas A&M,27,6,77,214
1392,James Brookins,wr,75,Duke,22,1,77,229
1393,Steven Caldwell,wr,70,Emporia State,29,8,71,254
1394,John Hill,wr,70,Colorado,21,0,73,254
1395,Douglas Smith,wr,73,Minnesota,29,8,79,254
1396,Harold Taliulu,wr,85,Iowa State,25,4,78,224
1397,Michael Cain,wr,61,Iowa,24,3,72,261
1398,Blake Gill,wr,64,West Texas A&M,24,3,75,202
1399,Brian Meunier,wr,72,Purdue,28,7,75,219
1400,Patrick Collins,wr,56,Northeastern,24,3,72,204
1401,Alex Wagner,wr,55,South Carolina,27,6,77,209
1402,Benjamin Joseph,wr,75,Alabama State,28,7,70,225
1403,Keith Cucco,wr,74,Northwestern,27,6,73,235
1404,Sam Hearnen,wr,62,N.Y.U.,26,5,78,212
1405,Joseph Runyon,wr,69,Missouri State,29,8,80,244
1406,Frank Ichikawa,wr,97,Western Michigan,32,11,79,221
1407,Joseph Moore,wr,55,Pittsburgh,25,4,78,235
1408,Stuart Clower,wr,64,LSU,28,7,79,253
1409,Ronald Channell,wr,79,Wisconsin,21,0,74,232
1410,Stephen Gibson,wr,55,Virginia,28,7,71,219
1411,Kenneth Seger,wr,84,Syracuse,24,3,78,267
1412,Jack Ortega,wr,72,Lehigh,23,2,74,264
1413,David Perez,wr,90,Yale,29,8,71,267
1414,Christopher Gallo,wr,55,No College,21,0,75,206
1415,Ali Wertz,wr,72,North Carolina State,31,10,73,204
1416,Fred Block,wr,69,Arizona State,27,6,80,203
1417,Marshall Johnson,wr,56,Central Michigan,24,3,71,272
1418,Tad Dison,wr,67,Oregon,23,2,71,268
1419,Percy Harman,wr,60,Virginia Military Inst.,29,8,73,275
1420,Emmett Dwelle,wr,85,Penn State,27,6,79,221
1421,James Lucas,wr,97,Temple,25,4,76,200
1422,Juan Seats,wr,55,Nebraska,23,2,76,266
1423,Coy Landrum,wr,64,Washington State,31,10,73,221
1424,Floyd Fuchs,wr,74,Wisconsin,23,2,70,271
1425,William Fitzpatrick,wr,70,Boston College,26,5,77,266
1426,Sandy Walters,wr,59,Dubuque,26,5,79,241
1427,William Moran,wr,75,Northern Illinois,21,0,72,218
1428,Henry Keen,wr,56,Michigan,25,4,78,251
1429,Ted Okie,wr,68,New Mexico,24,3,70,211
1430,Gary Cianciolo,wr,74,Texas-El Paso,30,9,78,268
1431,Bobby Lukens,lt,56,Nebraska,26,5,78,266
1432,Daniel Martin,lt,71,Memphis,28,7,72,217
1433,Jimmy Newton,lt,59,Toledo,25,4,78,207
1434,Jerry Takacs,lt,83,Arizona State,24,3,80,205
1435,Quentin Devore,lt,81,No College,22,1,71,225
1436,Damion Oneal,lt,66,Idaho State,26,5,76,230
1437,Rodney Brent,lt,76,Mississippi,33,12,75,233
1438,Larry Baker,lt,70,Temple,24,3,75,258
1439,Terrence Knoll,lt,73,North Carolina State,26,5,72,250
1440,Peter Rivera,lt,59,Louisville,23,2,74,210
1441,Sammy Gillies,lt,74,Baylor,23,2,71,239
1442,Carlos Fox,lt,56,Oklahoma,23,2,75,200
1443,Bradley Saechao,lt,80,Central State (Ohio),23,2,75,262
1444,John Brown,lt,99,Tampa,22,1,75,260
1445,Melvin Powell,lt,68,Columbia,21,0,74,262
1446,Francis Borsellino,lt,82,Arkansas,21,0,70,229
1447,Alfred Hall,lt,75,South Carolina,28,7,74,264
1448,Keith Moss,lt,72,Alabama,26,5,75,256
1449,Dominic Craig,lt,61,Rutgers,30,9,74,244
1450,Howard Johnson,lt,60,Texas,27,6,73,229
1451,Charles Juarez,lt,60,Oklahoma State,29,8,75,253
1452,Alan Swank,lt,66,Kentucky,24,3,75,205
1453,Justin Hunter,lt,56,Oregon State,26,5,78,210
1454,Martin Connelly,lt,67,Mississippi,28,7,71,250
1455,Scott Abel,lt,99,Arizona State,30,9,78,217
1456,Mark Cassin,lt,66,Oklahoma State,31,10,76,273
1457,Robert Corbitt,lt,60,Virginia Tech,26,5,75,256
1458,Neil Hoyman,lt,55,Georgia Tech,30,9,75,260
1459,Luther Morton,lt,60,Pittsburg State,29,8,77,273
1460,Ollie Samuel,lt,71,Tulsa,25,4,73,271
1461,Harold Craun,lt,74,Eastern Michigan,25,4,72,221
1462,Jefferey Boozer,lt,55,Syracuse,27,6,71,223
1463,David Lalley,lt,69,Oklahoma,21,0,75,261
1464,Matthew Wells,lt,66,USC,24,3,74,275
1465,Dave Chamberlin,lt,64,Penn State,26,5,80,208
1466,John Sanders,lt,57,Georgetown,25,4,71,262
1467,Tomas Scofield,lt,70,No College,24,3,73,240
1468,Bryan Foster,lt,57,Miami (Fla.),25,4,74,262
1469,Timothy Chu,lt,92,Wake Forest,27,6,71,266
1470,Gary Dockstader,lt,55,Louisville,23,2,71,201
1471,Stephen Preister,lt,84,Delaware,29,8,72,216
1472,Murray Clair,lt,65,Alabama,26,5,79,240
1473,Anthony Watkins,lt,66,Alabama,29,8,80,273
1474,Alex Battista,lt,71,Colorado State,27,6,78,233
1475,Thomas Felker,lt,56,Temple,23,2,79,217
1476,Samuel Tremblay,lt,79,Notre Dame,25,4,74,242
1477,Earl Crosby,lt,80,Cincinnati,27,6,79,232
1478,Jose Fosnaugh,lt,95,UCLA,26,5,76,248
1479,Julio Bostwick,lt,69,Rice,28,7,75,223
1480,Louis Davis,lt,63,Brigham Young,25,4,80,224
1481,Eddie Dinkins,lt,70,Kansas,21,0,70,231
1482,Ryan Rinehart,lt,68,Texas A&M,25,4,74,262
1483,Hugh Mullikin,lt,83,Arizona,27,6,73,272
1484,George Martinez,lt,70,Arizona State,21,0,80,221
1485,Victor Souffrant,lt,61,Washburn,27,6,78,257
1486,Daniel Vogel,lt,96,Southern Methodist,28,7,79,226
1487,Gary Bouchard,lt,75,South Carolina State,24,3,77,230
1488,Robert Harrell,lt,61,Purdue,23,2,76,248
1489,Joseph Scott,lt,71,Nebraska,28,7,80,274
1490,Joseph Collins,lt,62,South Florida,27,6,76,215
1491,Norman Dieguez,lt,66,Oregon,25,4,70,274
1492,William Gutierrez,lt,74,Northern Illinois,25,4,72,264
1493,Jose Brimfield,lt,95,USC,27,6,78,234
1494,Daniel Vetter,lt,58,Arkansas-Pine Bluff,27,6,78,224
1495,George Simms,lt,69,Texas Tech,24,3,74,227
1496,John Buziak,lt,85,Utah,23,2,79,275
1497,Sean Reed,lt,69,Indiana,32,11,73,261
1498,Charles Glover,lt,91,Florida State,26,5,80,211
1499,William Graves,lt,70,Nebraska,26,5,73,240
1500,Kent Coffman,lt,73,Georgia,22,1,76,270
1501,Alex Oliver,lt,75,San Diego State,26,5,70,223
1502,Daniel Tran,lt,59,Rutgers,26,5,80,220
1503,Alexander Farmer,lt,67,West Virginia,21,0,74,248
1504,Joe Ross,lt,76,Mississippi State,28,7,71,200
1505,Ismael Odowd,lt,55,Utah State,22,1,70,249
1506,Nicolas Bourque,lt,60,Texas Christian,27,6,80,201
1507,Clarence Guzman,lt,81,Baylor,25,4,73,265
1508,John Powe,lt,83,Central Michigan,25,4,71,201
1509,Darrell Foster,lt,57,Nebraska,28,7,72,271
1510,William Whyte,lt,63,Boise State,21,0,76,232
1511,Melvin Parker,lt,71,Purdue,32,11,80,210
1512,Stanley Motts,lt,63,Bucknell,23,2,71,252
1513,Jeffrey Siemens,lt,67,South Carolina State,25,4,79,225
1514,John Baker,lt,71,Duquesne,28,7,74,214
1515,William Boltz,lt,58,South Carolina,25,4,72,207
1516,Joseph Lundblad,lt,73,Alabama,26,5,79,269
1517,Lawrence Townsend,lt,67,Penn State,29,8,74,258
1518,William Jenkins,lt,77,Mississippi,26,5,71,219
1519,James Mott,lt,59,Kansas State,21,0,77,252
1520,Christopher Patrick,lt,55,UCLA,24,3,73,258
1521,Kenneth Cappello,lt,75,Sacramento State,32,11,79,219
1522,Michael Lytle,lt,90,Oregon State,22,1,71,265
1523,Harrison Vega,lt,61,Penn State,26,5,74,204
1524,John Knott,lt,73,UCLA,29,8,77,250
1525,Daniel Wilk,lt,66,Boise State,25,4,77,235
1526,Michael Weathers,lt,55,Alabama State,25,4,79,275
1527,Brian Delossantos,lt,73,Eastern Michigan,25,4,74,218
1528,Robert Conrad,lt,72,Michigan,27,6,76,220
1529,Ryan Pulley,lt,55,Iowa State,28,7,77,254
1530,John Kennedy,lt,75,West Texas A&M,26,5,74,213
1531,Cecil Whorton,lt,75,Staffordshire University (England),25,4,74,265
1532,Seth Mcmichael,lt,73,Illinois,24,3,80,239
1533,Louis Fuqua,lt,67,Furman,29,8,80,263
1534,Jason Juckett,lt,66,Stanford,25,4,75,252
1535,Scott Groce,lt,71,Florida,21,0,79,208
1536,Vicente Gordon,lt,73,Iowa,28,7,73,229
1537,Trent Soucy,lt,96,Eastern Michigan,23,2,70,204
1538,Henry Carter,lt,61,Miami (Fla.),28,7,76,231
1539,Stacy Johnson,lt,59,Iowa,25,4,70,272
1540,Brandon Mcmullen,lt,60,Duke,31,10,74,239
1541,Arthur Wilton,lt,62,Detroit Mercy,27,6,80,272
1542,Alexander Ellis,lt,63,Georgia Tech,27,6,74,268
1543,Richard Conover,lt,91,Wake Forest,21,0,74,211
1544,Jeffrey Hall,lt,99,Miami (Fla.),29,8,80,232
1545,Frank Payne,lt,55,Wisconsin,23,2,70,205
1546,Charles Mathews,lt,66,Notre Dame,29,8,72,225
1547,Leroy Gonzalez,lt,69,East Carolina,30,9,76,252
1548,Horacio Noon,lt,85,Virginia,25,4,78,275
1549,James Conner,lt,69,Illinois,27,6,77,202
1550,Ryan Packer,lt,57,Virginia Tech,31,10,71,254
1551,Tyrone Hastie,lt,97,West Virginia,24,3,80,241
1552,Mark Crumley,lt,60,Texas-El Paso,24,3,77,254
1553,Robert Espino,lt,88,Washington State,26,5,72,252
1554,Philip Coleman,lt,66,Auburn,21,0,70,266
1555,Sergio Rivera,lt,73,Nebraska,25,4,80,203
1556,Joseph Bailey,lt,61,Miami (Ohio),28,7,72,216
1557,Mathew Osborne,lt,68,Louisiana Tech,27,6,70,232
1558,James Pikula,lt,58,Northern Iowa,30,9,73,230
1559,Cyril Murphy,lt,60,Northwestern,24,3,71,209
1560,Richard Moore,lt,80,Southern University,26,5,79,275
1561,Alex Jenkins,lt,67,Colorado,24,3,73,204
1562,David Alford,lt,95,Montana State,22,1,78,231
1563,George Jackson,lt,64,No College,24,3,78,235
1564,Milton Daniels,lt,60,Western Michigan,28,7,76,270
1565,Armand Felder,lt,68,Valdosta State,25,4,72,235
1566,Edward Jorgenson,lt,68,Georgia Tech,31,10,76,240
1567,Albert Bowen,lt,62,Duke,29,8,80,253
1568,Stephen Burkhart,lt,65,Long Beach State,26,5,76,271
1569,Joseph Hanna,lt,71,Kansas State,23,2,80,249
1570,Jerry Pockrus,lt,64,Nebraska,30,9,77,226
1571,Edward Byrd,lt,63,McNeese State,26,5,73,255
1572,Milo Hatfield,lt,67,No College,24,3,77,244
1573,Clarence Newman,lt,95,Indiana,23,2,74,226
1574,Christopher Miller,lt,63,Purdue,29,8,73,263
1575,Clarence Phillips,lt,61,Wisconsin,21,0,80,215
1576,Christopher Bondy,lt,98,Washington,28,7,76,248
1577,Stephen Seat,lt,59,Notre Dame,24,3,72,258
1578,Robert Wise,lt,66,Brigham Young,29,8,78,201
1579,Matthew Knoy,lt,56,Texas Christian,29,8,72,225
1580,David Hunt,lt,63,Carthage,27,6,73,256
1581,James Wang,lt,91,Nebraska,22,1,80,201
1582,Douglas Sawyer,lt,96,James Madison,22,1,77,254
1583,Eduardo Mauffray,lt,80,USC,27,6,80,212
1584,Jerry Brandon,lt,57,Connecticut,26,5,71,211
1585,Kenneth Wyke,lt,57,Ohio State,25,4,71,201
1586,Jason Willis,lt,59,Illinois,31,10,74,232
1587,Jordan Hogue,lt,72,Lehigh,21,0,76,222
1588,Mike Dukes,lt,58,Harvard,24,3,80,256
1589,Lonnie Short,lt,73,Boise State,24,3,79,214
1590,Johnie Dunton,lt,72,Stanford,25,4,75,249
1591,Henry Worthington,lt,62,LSU,30,9,72,232
1592,Patrick Smith,lt,59,Hawaii,27,6,79,272
1593,Craig Pineda,lt,62,Ohio State,25,4,71,230
1594,Kasey Hamm,lt,73,Connecticut,26,5,74,204
1595,Christopher Pirtle,lt,66,Southern Mississippi,28,7,71,230
1596,Herman Nunamaker,lt,97,Hampton,27,6,70,226
1597,Darren Hudson,lt,88,Montana,29,8,80,260
1598,Gene Nooner,lt,65,Morehouse,24,3,76,208
1599,Kenneth Horwitz,lt,68,Holy Cross,26,5,80,258
1600,Bobby Allen,lt,59,Kansas State,24,3,73,206
1601,Arron Joyner,lt,66,Northwestern State-Louisiana,25,4,76,275
1602,Deandre Ford,lt,76,Florida International,23,2,80,238
1603,Theodore Dance,lt,77,Illinois,31,10,74,256
1604,Truman Wilson,lt,88,Boston College,24,3,79,261
1605,Oscar Tims,lt,62,Ohio State,24,3,79,239
1606,David Jones,lt,93,Texas A&M,28,7,70,235
1607,Robert Ford,lt,62,Stanford,26,5,70,257
1608,Alex Bertrand,lt,60,Arkansas State,24,3,80,231
1609,Carl Serrato,lt,55,Villanova,30,9,79,259
1610,Robert Still,lt,72,Ohio State,29,8,78,274
1611,Gregory Mullins,lt,71,Michigan State,27,6,78,220
1612,Herman Brockington,lt,65,South Carolina State,22,1,70,230
1613,Jason Morlino,lt,72,Mississippi College,26,5,73,262
1614,Fred Gonzalez,lt,80,No College,23,2,70,263
1615,Ryan Keirstead,lt,57,Texas,25,4,78,221
1616,Richard Davis,lt,61,Alabama,25,4,76,260
1617,William Furtado,lt,68,Stanford,24,3,70,258
1618,Frederick Reed,lt,72,Southern Methodist,27,6,71,238
1619,Jerry Bedolla,lt,92,Ohio State,26,5,76,275
1620,William Hendricks,lt,64,Nebraska,21,0,76,252
1621,Raymond Gravelle,lt,84,Miami (Fla.),25,4,77,244
1622,John Conner,lt,85,LSU,26,5,74,245
1623,Pierre Macfarlane,lt,70,Penn State,21,0,74,258
1624,Joseph Palacios,lg,73,Rutgers,28,7,79,267
1625,Cesar Bowling,lg,61,San Diego State,24,3,73,223
1626,William Bickel,lg,62,Michigan,26,5,73,263
1627,Cesar Singleton,lg,71,Northern Illinois,27,6,78,215
